id,business_name,street_name,street_number,address,accept_pickup,categories,city,location_id,price_range,rank,reservation_available,review_count,state,url,zip_code,rating
211,Mi Vida Restaurante,District Square SW,98,98 District Square SW,,,,5000000,,0,,0,,,,0
212,Founding Farmers DC,Pennsylvania Ave NW,1924,1924 Pennsylvania Ave NW,,,,5000000,,0,,0,,,,0
213,The Pig,14th St NW,1320,1320 14th St NW,,,,5000000,,0,,0,,,,0
214,Old Ebbitt Grill,15th St NW,675,675 15th St NW,,,,5000000,,0,,0,,,,0
215,Unconventional Diner,9th St NW,1207,1207 9th St NW,,,,5000000,,0,,0,,,,0
216,Spark,N Capitol St NW,1626,1626 N Capitol St NW,,,,5000000,,0,,0,,,,0
217,Bandit Taco,New Hampshire Ave NW,1946,1946 New Hampshire Ave NW,,,,5000000,,0,,0,,,,0
218,CIRCA at Chinatown,7th St NW,781,781 7th St NW,,,,5000000,,0,,0,,,,0
219,Reren,7th St NW,817,817 7th St NW,,,,5000000,,0,,0,,,,0
220,Farmbird,H St NE,625A,625A H St NE,,,,5000000,,0,,0,,,,0
221,District Taco,F St NW,1309,1309 F St NW,,,,5000000,,0,,0,,,,0
222,Daikaya Ramen Shop,6th St NW,705,705 6th St NW,,,,5000000,,0,,0,,,,0
223,Sakuramen,18th St NW,2441,2441 18th St NW,,,,5000000,,0,,0,,,,0
224,The Alibi,2nd St NW,237,237 2nd St NW,,,,5000000,,0,,0,,,,0
225,Cherry Blossom Pub,7th St NW,1843,1843 7th St NW,,,,5000000,,0,,0,,,,0
226,Poke Papa,H St NW,806,806 H St NW,,,,5000000,,0,,0,,,,0
227,Busboys and Poets - 5th and K,5th St NW,1025,1025 5th St NW,,,,5000000,,0,,0,,,,0
228,Le Diplomate,14th St NW,1601,1601 14th St NW,,,,5000000,,0,,0,,,,0
229,ChurchKey,14th St NW,1337,1337 14th St NW,,,,5000000,,0,,0,,,,0
230,Daikaya Izakaya,6th St NW,705,705 6th St NW,,,,5000000,,0,,0,,,,0
231,Ellē,Mt Pleasant St NW,3221,3221 Mt Pleasant St NW,,,,5000000,,0,,0,,,,0
232,Federalist Pig,Columbia Rd NW,1654,1654 Columbia Rd NW,,,,5000000,,0,,0,,,,0
233,Rose's Luxury,8th St SE,717,717 8th St SE,,,,5000000,,0,,0,,,,0
234,Blue Duck Tavern,24th St NW,1201,1201 24th St NW,,,,5000000,,0,,0,,,,0
235,b DC Penn Quarter,Pennsylvania Ave NW,801,801 Pennsylvania Ave NW,,,,5000000,,0,,0,,,,0
236,The Capital Burger,7th St NW,1005,1005 7th St NW,,,,5000000,,0,,0,,,,0
237,Farmers Fishers Bakers,K St NW,3000,3000 K St NW,,,,5000000,,0,,0,,,,0
238,Zaytinya,9th St NW,701,701 9th St NW,,,,5000000,,0,,0,,,,0
239,Duke's Counter,Connecticut Ave NW,3000,3000 Connecticut Ave NW,,,,5000000,,0,,0,,,,0
240,Pennsylvania 6 DC,Eye St NW,1350,1350 Eye St NW,,,,5000000,,0,,0,,,,0
241,Maydan,Florida Ave NW,1346,1346 Florida Ave NW,,,,5000000,,0,,0,,,,0
242,The Fainting Goat,U St NW,1330,1330 U St NW,,,,5000000,,0,,0,,,,0
243,Grady's,14th St NW,2210,2210 14th St NW,,,,5000000,,0,,0,,,,0
244,Taco Bamba,I St NW,777,777 I St NW,,,,5000000,,0,,0,,,,0
245,Toki Underground,H St NE,1234,1234 H St NE,,,,5000000,,0,,0,,,,0
246,Ted's Bulletin,14th St NW,1818,1818 14th St NW,,,,5000000,,0,,0,,,,0
247,Chaplin's,9th St NW,1501,1501 9th St NW,,,,5000000,,0,,0,,,,0
248,Thip Khao,14th St NW,3462,3462 14th St NW,,,,5000000,,0,,0,,,,0
249,SUCCOTASH - Penn Quarter,F St NW,915,915 F St NW,,,,5000000,,0,,0,,,,0
250,Compass Rose,T St NW,1346,1346 T St NW,,,,5000000,,0,,0,,,,0
251,JINYA Ramen Bar,14th St NW,1336,1336 14th St NW,,,,5000000,,0,,0,,,,0
252,Da Hong Pao,14th St NW,1409,1409 14th St NW,,,,5000000,,0,,0,,,,0
253,Tiger Fork,N St NW,922,922 N St NW,,,,5000000,,0,,0,,,,0
254,Hen Quarter,E St NW,750,750 E St NW,,,,5000000,,0,,0,,,,0
255,Haikan,V St NW,805,805 V St NW,,,,5000000,,0,,0,,,,0
256,Purple Patch,Mt Pleasant St NW,3155,3155 Mt Pleasant St NW,,,,5000000,,0,,0,,,,0
257,Grand Trunk,Indiana Ave NW,641,641 Indiana Ave NW,,,,5000000,,0,,0,,,,0
258,Bad Saint,11th St NW,3226,3226 11th St NW,,,,5000000,,0,,0,,,,0
259,Ambar,8th St SE,523,523 8th St SE,,,,5000000,,0,,0,,,,0
260,The Bird,11th St NW,1337,1337 11th St NW,,,,5000000,,0,,0,,,,0
261,Mi Vida Restaurante,District Square SW,98,98 District Square SW,,,,5000000,,0,,0,,,,0
262,Founding Farmers DC,Pennsylvania Ave NW,1924,1924 Pennsylvania Ave NW,,,,5000000,,0,,0,,,,0
263,The Pig,14th St NW,1320,1320 14th St NW,,,,5000000,,0,,0,,,,0
264,Old Ebbitt Grill,15th St NW,675,675 15th St NW,,,,5000000,,0,,0,,,,0
265,Unconventional Diner,9th St NW,1207,1207 9th St NW,,,,5000000,,0,,0,,,,0
266,Spark,N Capitol St NW,1626,1626 N Capitol St NW,,,,5000000,,0,,0,,,,0
267,Bandit Taco,New Hampshire Ave NW,1946,1946 New Hampshire Ave NW,,,,5000000,,0,,0,,,,0
268,CIRCA at Chinatown,7th St NW,781,781 7th St NW,,,,5000000,,0,,0,,,,0
269,Reren,7th St NW,817,817 7th St NW,,,,5000000,,0,,0,,,,0
270,Farmbird,H St NE,625A,625A H St NE,,,,5000000,,0,,0,,,,0
271,District Taco,F St NW,1309,1309 F St NW,,,,5000000,,0,,0,,,,0
272,Daikaya Ramen Shop,6th St NW,705,705 6th St NW,,,,5000000,,0,,0,,,,0
273,Sakuramen,18th St NW,2441,2441 18th St NW,,,,5000000,,0,,0,,,,0
274,The Alibi,2nd St NW,237,237 2nd St NW,,,,5000000,,0,,0,,,,0
275,Cherry Blossom Pub,7th St NW,1843,1843 7th St NW,,,,5000000,,0,,0,,,,0
276,Poke Papa,H St NW,806,806 H St NW,,,,5000000,,0,,0,,,,0
277,Busboys and Poets - 5th and K,5th St NW,1025,1025 5th St NW,,,,5000000,,0,,0,,,,0
278,Le Diplomate,14th St NW,1601,1601 14th St NW,,,,5000000,,0,,0,,,,0
279,ChurchKey,14th St NW,1337,1337 14th St NW,,,,5000000,,0,,0,,,,0
280,Daikaya Izakaya,6th St NW,705,705 6th St NW,,,,5000000,,0,,0,,,,0
281,Ellē,Mt Pleasant St NW,3221,3221 Mt Pleasant St NW,,,,5000000,,0,,0,,,,0
282,Federalist Pig,Columbia Rd NW,1654,1654 Columbia Rd NW,,,,5000000,,0,,0,,,,0
283,Rose's Luxury,8th St SE,717,717 8th St SE,,,,5000000,,0,,0,,,,0
284,Blue Duck Tavern,24th St NW,1201,1201 24th St NW,,,,5000000,,0,,0,,,,0
285,b DC Penn Quarter,Pennsylvania Ave NW,801,801 Pennsylvania Ave NW,,,,5000000,,0,,0,,,,0
286,The Capital Burger,7th St NW,1005,1005 7th St NW,,,,5000000,,0,,0,,,,0
287,Farmers Fishers Bakers,K St NW,3000,3000 K St NW,,,,5000000,,0,,0,,,,0
288,Zaytinya,9th St NW,701,701 9th St NW,,,,5000000,,0,,0,,,,0
289,Duke's Counter,Connecticut Ave NW,3000,3000 Connecticut Ave NW,,,,5000000,,0,,0,,,,0
290,Pennsylvania 6 DC,Eye St NW,1350,1350 Eye St NW,,,,5000000,,0,,0,,,,0
291,Maydan,Florida Ave NW,1346,1346 Florida Ave NW,,,,5000000,,0,,0,,,,0
292,The Fainting Goat,U St NW,1330,1330 U St NW,,,,5000000,,0,,0,,,,0
293,Grady's,14th St NW,2210,2210 14th St NW,,,,5000000,,0,,0,,,,0
294,Taco Bamba,I St NW,777,777 I St NW,,,,5000000,,0,,0,,,,0
295,Toki Underground,H St NE,1234,1234 H St NE,,,,5000000,,0,,0,,,,0
296,Ted's Bulletin,14th St NW,1818,1818 14th St NW,,,,5000000,,0,,0,,,,0
297,Chaplin's,9th St NW,1501,1501 9th St NW,,,,5000000,,0,,0,,,,0
298,Thip Khao,14th St NW,3462,3462 14th St NW,,,,5000000,,0,,0,,,,0
299,SUCCOTASH - Penn Quarter,F St NW,915,915 F St NW,,,,5000000,,0,,0,,,,0
300,Compass Rose,T St NW,1346,1346 T St NW,,,,5000000,,0,,0,,,,0
301,JINYA Ramen Bar,14th St NW,1336,1336 14th St NW,,,,5000000,,0,,0,,,,0
302,Da Hong Pao,14th St NW,1409,1409 14th St NW,,,,5000000,,0,,0,,,,0
303,Tiger Fork,N St NW,922,922 N St NW,,,,5000000,,0,,0,,,,0
304,Hen Quarter,E St NW,750,750 E St NW,,,,5000000,,0,,0,,,,0
305,Haikan,V St NW,805,805 V St NW,,,,5000000,,0,,0,,,,0
306,Purple Patch,Mt Pleasant St NW,3155,3155 Mt Pleasant St NW,,,,5000000,,0,,0,,,,0
307,Grand Trunk,Indiana Ave NW,641,641 Indiana Ave NW,,,,5000000,,0,,0,,,,0
308,Bad Saint,11th St NW,3226,3226 11th St NW,,,,5000000,,0,,0,,,,0
309,Ambar,8th St SE,523,523 8th St SE,,,,5000000,,0,,0,,,,0
310,The Bird,11th St NW,1337,1337 11th St NW,,,,5000000,,0,,0,,,,0
311,Mi Vida Restaurante,District Square SW,98,98 District Square SW,,,,5000000,,0,,0,,,,0
312,Founding Farmers DC,Pennsylvania Ave NW,1924,1924 Pennsylvania Ave NW,,,,5000000,,0,,0,,,,0
313,The Pig,14th St NW,1320,1320 14th St NW,,,,5000000,,0,,0,,,,0
314,Old Ebbitt Grill,15th St NW,675,675 15th St NW,,,,5000000,,0,,0,,,,0
315,Unconventional Diner,9th St NW,1207,1207 9th St NW,,,,5000000,,0,,0,,,,0
316,Spark,N Capitol St NW,1626,1626 N Capitol St NW,,,,5000000,,0,,0,,,,0
317,Bandit Taco,New Hampshire Ave NW,1946,1946 New Hampshire Ave NW,,,,5000000,,0,,0,,,,0
318,CIRCA at Chinatown,7th St NW,781,781 7th St NW,,,,5000000,,0,,0,,,,0
319,Reren,7th St NW,817,817 7th St NW,,,,5000000,,0,,0,,,,0
320,Farmbird,H St NE,625A,625A H St NE,,,,5000000,,0,,0,,,,0
321,District Taco,F St NW,1309,1309 F St NW,,,,5000000,,0,,0,,,,0
322,Daikaya Ramen Shop,6th St NW,705,705 6th St NW,,,,5000000,,0,,0,,,,0
323,Sakuramen,18th St NW,2441,2441 18th St NW,,,,5000000,,0,,0,,,,0
324,The Alibi,2nd St NW,237,237 2nd St NW,,,,5000000,,0,,0,,,,0
325,Cherry Blossom Pub,7th St NW,1843,1843 7th St NW,,,,5000000,,0,,0,,,,0
326,Poke Papa,H St NW,806,806 H St NW,,,,5000000,,0,,0,,,,0
327,Busboys and Poets - 5th and K,5th St NW,1025,1025 5th St NW,,,,5000000,,0,,0,,,,0
328,Le Diplomate,14th St NW,1601,1601 14th St NW,,,,5000000,,0,,0,,,,0
329,ChurchKey,14th St NW,1337,1337 14th St NW,,,,5000000,,0,,0,,,,0
330,Daikaya Izakaya,6th St NW,705,705 6th St NW,,,,5000000,,0,,0,,,,0
331,Ellē,Mt Pleasant St NW,3221,3221 Mt Pleasant St NW,,,,5000000,,0,,0,,,,0
332,Federalist Pig,Columbia Rd NW,1654,1654 Columbia Rd NW,,,,5000000,,0,,0,,,,0
333,Rose's Luxury,8th St SE,717,717 8th St SE,,,,5000000,,0,,0,,,,0
334,Blue Duck Tavern,24th St NW,1201,1201 24th St NW,,,,5000000,,0,,0,,,,0
335,b DC Penn Quarter,Pennsylvania Ave NW,801,801 Pennsylvania Ave NW,,,,5000000,,0,,0,,,,0
336,The Capital Burger,7th St NW,1005,1005 7th St NW,,,,5000000,,0,,0,,,,0
337,Farmers Fishers Bakers,K St NW,3000,3000 K St NW,,,,5000000,,0,,0,,,,0
338,Zaytinya,9th St NW,701,701 9th St NW,,,,5000000,,0,,0,,,,0
339,Duke's Counter,Connecticut Ave NW,3000,3000 Connecticut Ave NW,,,,5000000,,0,,0,,,,0
340,Pennsylvania 6 DC,Eye St NW,1350,1350 Eye St NW,,,,5000000,,0,,0,,,,0
341,Maydan,Florida Ave NW,1346,1346 Florida Ave NW,,,,5000000,,0,,0,,,,0
342,The Fainting Goat,U St NW,1330,1330 U St NW,,,,5000000,,0,,0,,,,0
343,Grady's,14th St NW,2210,2210 14th St NW,,,,5000000,,0,,0,,,,0
344,Taco Bamba,I St NW,777,777 I St NW,,,,5000000,,0,,0,,,,0
345,Toki Underground,H St NE,1234,1234 H St NE,,,,5000000,,0,,0,,,,0
346,Ted's Bulletin,14th St NW,1818,1818 14th St NW,,,,5000000,,0,,0,,,,0
347,Chaplin's,9th St NW,1501,1501 9th St NW,,,,5000000,,0,,0,,,,0
348,Thip Khao,14th St NW,3462,3462 14th St NW,,,,5000000,,0,,0,,,,0
349,SUCCOTASH - Penn Quarter,F St NW,915,915 F St NW,,,,5000000,,0,,0,,,,0
350,Compass Rose,T St NW,1346,1346 T St NW,,,,5000000,,0,,0,,,,0
351,JINYA Ramen Bar,14th St NW,1336,1336 14th St NW,,,,5000000,,0,,0,,,,0
352,Da Hong Pao,14th St NW,1409,1409 14th St NW,,,,5000000,,0,,0,,,,0
353,Tiger Fork,N St NW,922,922 N St NW,,,,5000000,,0,,0,,,,0
354,Hen Quarter,E St NW,750,750 E St NW,,,,5000000,,0,,0,,,,0
355,Haikan,V St NW,805,805 V St NW,,,,5000000,,0,,0,,,,0
356,Purple Patch,Mt Pleasant St NW,3155,3155 Mt Pleasant St NW,,,,5000000,,0,,0,,,,0
357,Grand Trunk,Indiana Ave NW,641,641 Indiana Ave NW,,,,5000000,,0,,0,,,,0
358,Bad Saint,11th St NW,3226,3226 11th St NW,,,,5000000,,0,,0,,,,0
359,Ambar,8th St SE,523,523 8th St SE,,,,5000000,,0,,0,,,,0
360,The Bird,11th St NW,1337,1337 11th St NW,,,,5000000,,0,,0,,,,0
